?t, $atleast, >d, $done_percent, <ep, $learning_curve, <np, $nprod, $optimism, $pomposity, $productivity_exp, $productivity_new, $r, $to, $ts, ?verbose
0, 8.85, 0.16, 4.11, 5, 29.93, 7, 5.05, 66.76, 99.64, 8.8, 0.18, 731.07, 83.07, 36.95, 1.0
1, 8.85, 100, 4.11, 5.23, 29.93, 6.77, 5.05, 66.76, 99.64, 8.8, 0.18, 631.07, 83.07, 36.95, 1.0
0, 3.7, 0.61, 3.55, 7, 55.32, 2, 9.78, 76.16, 61.33, 1.51, 0.62, 941.25, 88.97, 40.8, 1.0
1, 3.7, 100, 3.55, 7.04, 55.32, 1.96, 9.78, 76.16, 61.33, 1.51, 0.62, 841.25, 88.97, 40.8, 1.0
0, 8.95, 0.96, 6.08, 9, 95.12, 29, 4.55, 96.5, 92.2, 6.17, 0.35, 480.38, 46.39, 57.16, 1.0
1, 8.95, 100, 6.08, 9.3, 95.12, 28.7, 4.55, 96.5, 92.2, 6.17, 0.35, 380.38, 46.39, 57.16, 1.0
0, 2.76, 0.83, 1.12, 2, 47.06, 19, 4.54, 45.8, 23.23, 8.82, 0.95, 928.72, 28.09, 70.54, 1.0
1, 2.76, 100, 1.12, 2.4, 47.06, 18.6, 4.54, 45.8, 23.23, 8.82, 0.95, 828.72, 28.09, 70.54, 1.0
0, 0.58, 0.18, 5.16, 9, 18.23, 17, 8.91, 4.88, 32.77, 7.41, 0.37, 727.26, 45.74, 58.59, 1.0
1, 0.58, 100, 5.16, 9.93, 18.23, 16.07, 8.91, 4.88, 32.77, 7.41, 0.37, 627.26, 45.74, 58.59, 1.0
0, 5.1, 0.02, 5.46, 7, 72.0, 22, 7.38, 66.7, 50.79, 8.58, 0.26, 268.82, 28.79, 10.82, 1.0
1, 5.1, 100, 5.46, 7.31, 72.0, 21.69, 7.38, 66.7, 50.79, 8.58, 0.26, 168.82, 28.79, 10.82, 1.0
0, 6.31, 0.0, 2.74, 2, 68.77, 9, 6.93, 8.99, 18.19, 9.6, 0.47, 502.39, 39.3, 97.21, 1.0
1, 6.31, 100, 2.74, 2.13, 68.77, 8.87, 6.93, 8.99, 18.19, 9.6, 0.47, 402.39, 39.3, 97.21, 1.0
0, 7.33, 0.35, 1.79, 3, 87.5, 19, 7.24, 25.67, 11.83, 8.15, 0.59, 715.64, 93.27, 86.99, 1.0
1, 7.33, 100, 1.79, 3.22, 87.5, 18.78, 7.24, 25.67, 11.83, 8.15, 0.59, 615.64, 93.27, 86.99, 1.0
0, 8.63, 0.37, 8.44, 8, 6.46, 27, 8.01, 68.8, 88.57, 9.48, 0.71, 752.54, 11.48, 93.45, 1.0
1, 8.63, 100, 8.44, 12.18, 6.46, 22.82, 8.01, 68.8, 88.57, 9.48, 0.71, 652.54, 11.48, 93.45, 1.0
0, 5.39, 0.93, 6.43, 7, 68.95, 14, 6.66, 54.53, 23.5, 7.57, 0.91, 113.6, 83.22, 79.95, 1.0
1, 5.39, 100, 6.43, 7.2, 68.95, 13.8, 6.66, 54.53, 23.5, 7.57, 0.91, 13.6, 83.22, 79.95, 1.0
0, 7.77, 0.4, 5.85, 2, 51.53, 17, 4.66, 64.67, 89.38, 6.01, 0.3, 631.72, 35.58, 9.72, 1.0
1, 7.77, 80.18, 5.85, 2.33, 51.53, 16.67, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
2, 7.77, 80.18, 5.85, 2.66, 51.53, 16.34, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
3, 7.77, 80.18, 5.85, 2.98, 51.53, 16.02, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
4, 7.77, 80.18, 5.85, 3.3, 51.53, 15.7, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
5, 7.77, 80.18, 5.85, 3.61, 51.53, 15.39, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
6, 7.77, 80.18, 5.85, 3.92, 51.53, 15.08, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
7, 7.77, 80.18, 5.85, 4.21, 51.53, 14.79, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
8, 7.77, 80.18, 5.85, 4.51, 51.53, 14.49, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
9, 7.77, 80.18, 5.85, 4.79, 51.53, 14.21, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
10, 7.77, 80.18, 5.85, 5.08, 51.53, 13.92, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
11, 7.77, 80.18, 5.85, 5.35, 51.53, 13.65, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
12, 7.77, 80.18, 5.85, 5.62, 51.53, 13.38, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
13, 7.77, 80.18, 5.85, 5.89, 51.53, 13.11, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
14, 7.77, 80.18, 5.85, 6.15, 51.53, 12.85, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
15, 7.77, 80.18, 5.85, 6.4, 51.53, 12.6, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
16, 7.77, 80.18, 5.85, 6.65, 51.53, 12.35, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
17, 7.77, 80.18, 5.85, 6.89, 51.53, 12.11, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
18, 7.77, 80.18, 5.85, 7.13, 51.53, 11.87, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
19, 7.77, 80.18, 5.85, 7.37, 51.53, 11.63, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
20, 7.77, 80.18, 5.85, 7.6, 51.53, 11.4, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
21, 7.77, 80.18, 5.85, 7.82, 51.53, 11.18, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
22, 7.77, 80.18, 5.85, 8.05, 51.53, 10.95, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
23, 7.77, 80.18, 5.85, 8.26, 51.53, 10.74, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
24, 7.77, 80.18, 5.85, 8.48, 51.53, 10.52, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
25, 7.77, 80.18, 5.85, 8.68, 51.53, 10.32, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
26, 7.77, 80.18, 5.85, 8.89, 51.53, 10.11, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
27, 7.77, 80.18, 5.85, 9.09, 51.53, 9.91, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
28, 7.77, 80.18, 5.85, 9.28, 51.53, 9.72, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
29, 7.77, 80.18, 5.85, 9.48, 51.53, 9.52, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
29, 7.77, 80.18, 5.85, 9.48, 51.53, 9.52, 4.66, 64.67, 89.38, 6.01, 0.3, 551.94, 35.58, 9.72, 1.0
0, 5.29, 0.78, 8.48, 9, 42.29, 28, 3.5, 60.01, 62.6, 5.92, 0.5, 952.22, 72.4, 36.94, 1.0
1, 5.29, 100, 8.48, 9.66, 42.29, 27.34, 3.5, 60.01, 62.6, 5.92, 0.5, 852.22, 72.4, 36.94, 1.0
0, 1.89, 0.45, 9.28, 3, 93.0, 7, 7.7, 94.99, 39.32, 4.51, 0.86, 67.08, 68.35, 41.0, 1.0
1, 1.89, 100, 9.28, 3.08, 93.0, 6.92, 7.7, 94.99, 39.32, 4.51, 0.86, 0, 68.35, 41.0, 1.0
0, 5.33, 0.36, 4.99, 8, 43.0, 25, 3.75, 38.23, 74.89, 9.33, 0.38, 978.3, 87.53, 65.75, 1.0
1, 5.33, 100, 4.99, 8.58, 43.0, 24.42, 3.75, 38.23, 74.89, 9.33, 0.38, 878.3, 87.53, 65.75, 1.0
0, 0.91, 0.26, 6.13, 6, 93.23, 14, 9.09, 99.6, 33.83, 7.91, 0.06, 954.07, 83.65, 91.06, 1.0
1, 0.91, 100, 6.13, 6.15, 93.23, 13.85, 9.09, 99.6, 33.83, 7.91, 0.06, 854.07, 83.65, 91.06, 1.0
0, 8.12, 0.89, 9.67, 5, 65.45, 5, 8.9, 29.69, 74.52, 3.7, 0.92, 297.26, 81.6, 78.25, 1.0
1, 8.12, 100, 9.67, 5.08, 65.45, 4.92, 8.9, 29.69, 74.52, 3.7, 0.92, 197.26, 81.6, 78.25, 1.0
0, 2.08, 0.77, 2.81, 1, 60.09, 1, 0.74, 1.44, 15.46, 4.89, 0.4, 777.36, 47.26, 63.02, 1.0
1, 2.08, 4.68, 2.81, 1.02, 60.09, 0.98, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
2, 2.08, 4.68, 2.81, 1.03, 60.09, 0.97, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
3, 2.08, 4.68, 2.81, 1.05, 60.09, 0.95, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
4, 2.08, 4.68, 2.81, 1.07, 60.09, 0.93, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
5, 2.08, 4.68, 2.81, 1.08, 60.09, 0.92, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
6, 2.08, 4.68, 2.81, 1.1, 60.09, 0.9, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
7, 2.08, 4.68, 2.81, 1.11, 60.09, 0.89, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
8, 2.08, 4.68, 2.81, 1.13, 60.09, 0.87, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
9, 2.08, 4.68, 2.81, 1.14, 60.09, 0.86, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
10, 2.08, 4.68, 2.81, 1.16, 60.09, 0.84, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
11, 2.08, 4.68, 2.81, 1.17, 60.09, 0.83, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
12, 2.08, 4.68, 2.81, 1.19, 60.09, 0.81, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
13, 2.08, 4.68, 2.81, 1.2, 60.09, 0.8, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
14, 2.08, 4.68, 2.81, 1.21, 60.09, 0.79, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
15, 2.08, 4.68, 2.81, 1.23, 60.09, 0.77, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
16, 2.08, 4.68, 2.81, 1.24, 60.09, 0.76, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
17, 2.08, 4.68, 2.81, 1.25, 60.09, 0.75, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
18, 2.08, 4.68, 2.81, 1.26, 60.09, 0.74, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
19, 2.08, 4.68, 2.81, 1.28, 60.09, 0.72, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
20, 2.08, 4.68, 2.81, 1.29, 60.09, 0.71, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
21, 2.08, 4.68, 2.81, 1.3, 60.09, 0.7, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
22, 2.08, 4.68, 2.81, 1.31, 60.09, 0.69, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
23, 2.08, 4.68, 2.81, 1.32, 60.09, 0.68, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
24, 2.08, 4.68, 2.81, 1.34, 60.09, 0.66, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
25, 2.08, 4.68, 2.81, 1.35, 60.09, 0.65, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
26, 2.08, 4.68, 2.81, 1.36, 60.09, 0.64, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
27, 2.08, 4.68, 2.81, 1.37, 60.09, 0.63, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
28, 2.08, 4.68, 2.81, 1.38, 60.09, 0.62, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
29, 2.08, 4.68, 2.81, 1.39, 60.09, 0.61, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
29, 2.08, 4.68, 2.81, 1.39, 60.09, 0.61, 0.74, 1.44, 15.46, 4.89, 0.4, 773.45, 47.26, 63.02, 1.0
0, 1.52, 0.7, 5.62, 9, 84.89, 4, 9.85, 88.66, 8.67, 9.37, 0.49, 65.12, 96.97, 96.04, 1.0
1, 1.52, 100, 5.62, 9.05, 84.89, 3.95, 9.85, 88.66, 8.67, 9.37, 0.49, 0, 96.97, 96.04, 1.0
0, 2.06, 0.35, 4.84, 9, 42.52, 13, 2.98, 52.0, 35.55, 7.56, 0.8, 481.6, 56.05, 26.61, 1.0
1, 2.06, 100, 4.84, 9.31, 42.52, 12.69, 2.98, 52.0, 35.55, 7.56, 0.8, 381.6, 56.05, 26.61, 1.0
0, 1.93, 0.01, 1.29, 9, 68.18, 18, 0.78, 35.98, 21.85, 5.25, 0.4, 653.09, 30.69, 48.81, 1.0
1, 1.93, 42.48, 1.29, 9.26, 68.18, 17.74, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
2, 1.93, 42.48, 1.29, 9.53, 68.18, 17.47, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
3, 1.93, 42.48, 1.29, 9.79, 68.18, 17.21, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
4, 1.93, 42.48, 1.29, 10.04, 68.18, 16.96, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
5, 1.93, 42.48, 1.29, 10.3, 68.18, 16.7, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
6, 1.93, 42.48, 1.29, 10.55, 68.18, 16.45, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
7, 1.93, 42.48, 1.29, 10.79, 68.18, 16.21, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
8, 1.93, 42.48, 1.29, 11.03, 68.18, 15.97, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
9, 1.93, 42.48, 1.29, 11.27, 68.18, 15.73, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
10, 1.93, 42.48, 1.29, 11.5, 68.18, 15.5, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
11, 1.93, 42.48, 1.29, 11.73, 68.18, 15.27, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
12, 1.93, 42.48, 1.29, 11.96, 68.18, 15.04, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
13, 1.93, 42.48, 1.29, 12.19, 68.18, 14.81, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
14, 1.93, 42.48, 1.29, 12.41, 68.18, 14.59, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
15, 1.93, 42.48, 1.29, 12.62, 68.18, 14.38, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
16, 1.93, 42.48, 1.29, 12.84, 68.18, 14.16, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
17, 1.93, 42.48, 1.29, 13.05, 68.18, 13.95, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
18, 1.93, 42.48, 1.29, 13.26, 68.18, 13.74, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
19, 1.93, 42.48, 1.29, 13.46, 68.18, 13.54, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
20, 1.93, 42.48, 1.29, 13.66, 68.18, 13.34, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
21, 1.93, 42.48, 1.29, 13.86, 68.18, 13.14, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
22, 1.93, 42.48, 1.29, 14.06, 68.18, 12.94, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
23, 1.93, 42.48, 1.29, 14.25, 68.18, 12.75, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
24, 1.93, 42.48, 1.29, 14.44, 68.18, 12.56, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
25, 1.93, 42.48, 1.29, 14.63, 68.18, 12.37, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
26, 1.93, 42.48, 1.29, 14.81, 68.18, 12.19, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
27, 1.93, 42.48, 1.29, 14.99, 68.18, 12.01, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
28, 1.93, 42.48, 1.29, 15.17, 68.18, 11.83, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
29, 1.93, 42.48, 1.29, 15.35, 68.18, 11.65, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
29, 1.93, 42.48, 1.29, 15.35, 68.18, 11.65, 0.78, 35.98, 21.85, 5.25, 0.4, 610.62, 30.69, 48.81, 1.0
0, 9.47, 0.28, 2.47, 2, 7.95, 19, 0.21, 30.23, 10.74, 1.05, 0.19, 478.07, 75.83, 86.67, 1.0
1, 9.47, 1.48, 2.47, 4.39, 7.95, 16.61, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
2, 9.47, 1.48, 2.47, 6.78, 7.95, 14.22, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
3, 9.47, 1.48, 2.47, 8.87, 7.95, 12.13, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
4, 9.47, 1.48, 2.47, 10.66, 7.95, 10.34, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
5, 9.47, 1.48, 2.47, 12.18, 7.95, 8.82, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
6, 9.47, 1.48, 2.47, 13.48, 7.95, 7.52, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
7, 9.47, 1.48, 2.47, 14.59, 7.95, 6.41, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
8, 9.47, 1.48, 2.47, 15.54, 7.95, 5.46, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
9, 9.47, 1.48, 2.47, 16.34, 7.95, 4.66, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
10, 9.47, 1.48, 2.47, 17.03, 7.95, 3.97, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
11, 9.47, 1.48, 2.47, 17.62, 7.95, 3.38, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
12, 9.47, 1.48, 2.47, 18.12, 7.95, 2.88, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
13, 9.47, 1.48, 2.47, 18.54, 7.95, 2.46, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
14, 9.47, 1.48, 2.47, 18.9, 7.95, 2.1, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
15, 9.47, 1.48, 2.47, 19.21, 7.95, 1.79, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
16, 9.47, 1.48, 2.47, 19.48, 7.95, 1.52, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
17, 9.47, 1.48, 2.47, 19.7, 7.95, 1.3, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
18, 9.47, 1.48, 2.47, 19.89, 7.95, 1.11, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
19, 9.47, 1.48, 2.47, 20.06, 7.95, 0.94, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
20, 9.47, 1.48, 2.47, 20.2, 7.95, 0.8, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
21, 9.47, 1.48, 2.47, 20.31, 7.95, 0.69, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
22, 9.47, 1.48, 2.47, 20.42, 7.95, 0.58, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
23, 9.47, 1.48, 2.47, 20.5, 7.95, 0.5, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
24, 9.47, 1.48, 2.47, 20.58, 7.95, 0.42, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
25, 9.47, 1.48, 2.47, 20.64, 7.95, 0.36, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
26, 9.47, 1.48, 2.47, 20.69, 7.95, 0.31, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
27, 9.47, 1.48, 2.47, 20.74, 7.95, 0.26, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
28, 9.47, 1.48, 2.47, 20.78, 7.95, 0.22, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
29, 9.47, 1.48, 2.47, 20.81, 7.95, 0.19, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
29, 9.47, 1.48, 2.47, 20.81, 7.95, 0.19, 0.21, 30.23, 10.74, 1.05, 0.19, 476.87, 75.83, 86.67, 1.0
0, 4.29, 0.36, 8.81, 9, 44.48, 11, 3.61, 14.38, 71.22, 1.84, 0.19, 705.91, 72.01, 96.61, 1.0
1, 4.29, 67.69, 8.81, 9.25, 44.48, 10.75, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
2, 4.29, 67.69, 8.81, 9.49, 44.48, 10.51, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
3, 4.29, 67.69, 8.81, 9.74, 44.48, 10.26, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
4, 4.29, 67.69, 8.81, 9.97, 44.48, 10.03, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
5, 4.29, 67.69, 8.81, 10.2, 44.48, 9.8, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
6, 4.29, 67.69, 8.81, 10.43, 44.48, 9.57, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
7, 4.29, 67.69, 8.81, 10.65, 44.48, 9.35, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
8, 4.29, 67.69, 8.81, 10.86, 44.48, 9.14, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
9, 4.29, 67.69, 8.81, 11.07, 44.48, 8.93, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
10, 4.29, 67.69, 8.81, 11.28, 44.48, 8.72, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
11, 4.29, 67.69, 8.81, 11.48, 44.48, 8.52, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
12, 4.29, 67.69, 8.81, 11.68, 44.48, 8.32, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
13, 4.29, 67.69, 8.81, 11.87, 44.48, 8.13, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
14, 4.29, 67.69, 8.81, 12.06, 44.48, 7.94, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
15, 4.29, 67.69, 8.81, 12.24, 44.48, 7.76, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
16, 4.29, 67.69, 8.81, 12.42, 44.48, 7.58, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
17, 4.29, 67.69, 8.81, 12.59, 44.48, 7.41, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
18, 4.29, 67.69, 8.81, 12.76, 44.48, 7.24, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
19, 4.29, 67.69, 8.81, 12.93, 44.48, 7.07, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
20, 4.29, 67.69, 8.81, 13.09, 44.48, 6.91, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
21, 4.29, 67.69, 8.81, 13.25, 44.48, 6.75, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
22, 4.29, 67.69, 8.81, 13.41, 44.48, 6.59, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
23, 4.29, 67.69, 8.81, 13.56, 44.48, 6.44, 3.61, 14.38, 71.22, 1.84, 0.19, 638.58, 72.01, 96.61, 1.0
